15000
0.149 0.149 0.149
0.112209 0.111536 0.0388607 0.0399997
0.118453 0.037292 0.0713326 0.0332543
0.0574964 0.098688 0.122012 0.0294074
0.0604447 0.0377129 0.085111 0.0266463
0.126257 0.111039 0.105738 0.0249218
0.0435306 0.0504962 0.037442 0.0238281
0.10325 0.0528795 0.0211318 0.0228668
0.0713248 0.0247398 0.129494 0.0220132
0.079868 0.079631 0.082414 0.0212485
0.077802 0.130631 0.084604 0.0205584
0.0568609 0.112408 0.0187328 0.0199314
0.0183523 0.114465 0.0231874 0.0193585
0.091982 0.055806 0.114748 0.0188324
0.0171105 0.075065 0.0174814 0.0183469
0.13328 0.0672562 0.108764 0.0178971
0.0163914 0.080008 0.0621155 0.0174789
0.0531916 0.115277 0.0545702 0.0170928
0.0156001 0.031905 0.08707 0.0167882
0.0425005 0.134479 0.078287 0.0164994
0.0145545 0.0249293 0.0323775 0.016225
0.0509126 0.0145774 0.0240054 0.0159638
0.113895 0.0717829 0.135147 0.0157148
0.0364819 0.0145848 0.13546 0.0154772
0.082781 0.0143317 0.0489781 0.01525
0.0138365 0.135413 0.0674233 0.0150325
0.0505787 0.079562 0.0136668 0.0148241
0.135238 0.0509494 0.136091 0.0146241
0.0360059 0.044094 0.122106 0.014432
0.0129974 0.0152409 0.061735 0.0142473
0.0884 0.127901 0.116706 0.0140695
0.0132591 0.120035 0.131349 0.0138982
0.0668907 0.0354717 0.0129507 0.013733
0.0253453 0.065073 0.107597 0.0135735
0.0124702 0.137129 0.111031 0.0134195
0.0122612 0.0125171 0.121291 0.0132706
0.035265 0.0121782 0.0472879 0.0131265
0.123985 0.0122669 0.109167 0.0129871
0.0239285 0.079154 0.136861 0.012852
0.033205 0.0645961 0.080425 0.012721
0.0338829 0.0113914 0.078154 0.0125939
0.10323 0.0120722 0.0306425 0.0124706
0.086097 0.0099038 0.084237 0.0123509
0.138306 0.0350388 0.0126805 0.0122345
0.0573825 0.0113101 0.0574043 0.0121213
0.100881 0.095547 0.138606 0.0120113
0.096831 0.105838 0.086871 0.0119041
0.0538821 0.138557 0.0378252 0.0117998
