3000
3.e-4 3.e-4 5.4e-4
5.23215e-06 2.25324e-05 1.19946e-05 1.19945e-05
3.37191e-05 1.89106e-05 2.09778e-05 1.1418e-05
5.41135e-05 2.57613e-06 1.53175e-05 1.53175e-05
5.22607e-05 2.24766e-05 2.6217e-05 7.411e-06
8.98337e-05 8.62042e-07 1.24425e-05 1.24425e-05
7.57505e-05 1.02267e-05 3.3758e-05 1.4123e-05
7.34175e-05 1.89025e-05 1.04451e-05 1.04295e-05
9.48553e-05 3.33014e-05 1.5982e-05 1.5982e-05
0.000118998 2.4099e-05 1.0442e-05 1.0442e-05
0.000104295 9.60699e-06 3.33769e-05 1.4431e-05
0.000160614 7.64619e-06 3.26909e-05 1.50595e-05
0.000176053 1.75248e-05 1.1824e-05 1.1824e-05
0.000189583 1.18595e-05 3.4023e-05 1.42415e-05
0.000209089 8.12545e-06 1.3969e-05 1.3969e-05
0.000212595 3.12909e-05 9.824e-06 9.824e-06
0.000232381 1.06974e-05 3.50916e-05 1.5904e-05
0.000233328 2.86315e-05 1.43171e-05 1.1557e-05
0.000244501 9.84496e-06 1.03635e-05 1.03635e-05
0.000253907 2.4822e-05 2.18032e-05 1.067e-05
0.000268306 8.8268e-06 1.26825e-05 1.26825e-05
0.000280193 2.82345e-05 3.40271e-05 1.85195e-05
0.000294596 3.20365e-07 1.26423e-05 1.26415e-05
2.37743e-05 3.936e-05 1.27605e-05 1.27605e-05
7.94456e-06 4.54765e-05 3.36506e-05 1.4154e-05
1.61639e-05 6.53732e-05 1.44145e-05 1.43935e-05
4.81455e-05 3.5041e-05 1.2002e-05 1.2002e-05
3.9716e-05 5.16406e-05 2.86014e-05 1.2665e-05
6.52977e-05 5.72295e-05 1.2811e-05 1.2811e-05
8.95151e-05 6.04228e-05 1.47077e-05 1.16895e-05
6.80401e-05 3.58893e-05 2.76938e-05 1.33505e-05
0.000123199 5.22137e-05 1.1035e-05 1.1035e-05
0.000112882 5.70686e-05 3.2796e-05 1.34315e-05
0.000145052 3.36972e-05 1.8458e-05 1.8458e-05
0.000147284 6.0935e-05 2.66657e-05 1.0077e-05
0.000191461 3.54545e-05 1.19131e-05 1.1817e-05
0.000173585 3.52101e-05 1.59034e-05 6.4925e-06
0.000168277 5.27267e-05 1.21845e-05 1.21845e-05
0.000189808 5.45159e-05 3.48107e-05 1.2835e-05
0.000209385 5.23106e-05 1.81049e-05 1.2995e-05
0.000223153 6.27317e-05 3.34963e-05 1.01365e-05
0.000236569 5.4514e-05 1.45135e-05 1.45135e-05
0.00026266 5.54649e-05 2.73015e-05 1.45585e-05
0.000294148 4.28037e-05 1.11529e-05 1.11245e-05
1.25471e-05 9.15785e-05 2.92638e-05 1.56985e-05
3.43826e-05 9.96849e-05 1.28155e-05 1.28155e-05
4.37183e-05 6.95302e-05 1.204e-05 1.204e-05
6.11626e-05 9.48118e-05 1.44535e-05 1.44535e-05
4.23785e-05 8.37549e-05 3.47292e-05 1.4773e-05
8.78542e-05 8.521e-05 1.3199e-05 1.3199e-05
7.01392e-05 7.47651e-05 3.22857e-05 1.38385e-05
8.00117e-05 9.97325e-05 3.13493e-05 1.13335e-05
0.000112357 7.52369e-05 1.32555e-05 1.32555e-05
0.000123862 9.06812e-05 2.82568e-05 1.11565e-05
0.000137726 7.47693e-05 1.2142e-05 1.2142e-05
0.000164069 7.91853e-05 1.46895e-05 1.46895e-05
0.000152923 9.53106e-05 6.42936e-06 6.4265e-06
0.000147761 9.19538e-05 3.11224e-05 1.17375e-05
0.000192347 7.31791e-05 1.42235e-05 1.42235e-05
